,ABC,BA,BBO,DO,FOX,GA,GWO,IFOX,LSHADE,PSO
ABC,,1.8626e-09,5.5534e-02,9.3132e-09,1.0245e-07,5.9675e-01,1.7783e-01,2.2297e-01,2.7511e-04,5.9586e-01
BA,1.8626e-09,,1.8626e-09,1.8626e-09,1.8626e-09,1.8626e-09,1.8626e-09,1.8626e-09,1.8626e-09,1.8626e-09
BBO,5.5534e-02,1.8626e-09,,1.4193e-06,7.2522e-05,2.0674e-01,5.8131e-01,9.9091e-01,1.0655e-03,2.6868e-01
DO,9.3132e-09,1.8626e-09,1.4193e-06,,5.2263e-02,4.8009e-06,9.7817e-06,1.0809e-05,2.5631e-06,1.3039e-07
FOX,1.0245e-07,1.8626e-09,7.2522e-05,5.2263e-02,,2.5518e-07,1.1988e-04,1.0127e-04,4.2832e-06,1.1921e-06
GA,5.9675e-01,1.8626e-09,2.0674e-01,4.8009e-06,2.5518e-07,,1.4989e-01,1.5677e-01,1.1823e-02,4.4606e-01
GWO,1.7783e-01,1.8626e-09,5.8131e-01,9.7817e-06,1.1988e-04,1.4989e-01,,8.8536e-01,4.8997e-04,4.3434e-01
IFOX,2.2297e-01,1.8626e-09,9.9091e-01,1.0809e-05,1.0127e-04,1.5677e-01,8.8536e-01,,6.6763e-04,4.9361e-01
LSHADE,2.7511e-04,1.8626e-09,1.0655e-03,2.5631e-06,4.2832e-06,1.1823e-02,4.8997e-04,6.6763e-04,,4.8936e-03
PSO,5.9586e-01,1.8626e-09,2.6868e-01,1.3039e-07,1.1921e-06,4.4606e-01,4.3434e-01,4.9361e-01,4.8936e-03,
