trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30
7814999915.925003,9554999907.225002,8444999912.775003,11949999895.250004,9517380864.204481,10414999902.925003,8199999914.000003,9176428512.077042,10609999901.950003,8734285648.675512,9721428509.352043,8417380869.70448,11384999898.075003,7154999919.225002,9868333253.436113,10014999904.925003,10878333248.386112,10648333249.536114,10873333248.411112,11729999896.350004,8064655111.757581,8277820460.84627,10193333251.811113,10219999903.900003,9269999908.650003,8749999928.250002,10714655098.507582,10508333250.236113,8118333262.186112,10879999917.600002
7814999915.925003,9554999907.225002,8262380870.479481,10904999900.475002,8764999911.175003,10294999903.525003,7664999916.675002,8576428515.077043,10609999901.950003,8734285648.675512,9721428509.352043,8397380869.804481,10959655097.282581,7154999919.225002,9868333253.436113,10014999904.925003,10878333248.386112,10529565131.284122,10873333248.411112,11729999896.350004,8064655111.757581,7932820462.57127,9384655105.157581,9889090822.868597,9269999908.650003,8749999928.250002,10714655098.507582,10008333252.736113,8118333262.186112,10779090818.418596
6974999920.125002,9554999907.225002,8262380870.479481,10904999900.475002,8264999913.675004,9768333253.936113,7664999916.675002,8576428515.077043,10238235228.56661,8734285648.675512,9721428509.352043,7897380872.3044815,10959655097.282581,7154999919.225002,9868333253.436113,10014999904.925003,10343333251.061113,8569090829.468598,9400740670.005901,11584999897.075003,8064655111.757581,7574999917.125003,7870161233.385927,8852380867.529482,9269999908.650003,8749999928.250002,10024999904.875002,9918333253.186113,8118333262.186112,9209999925.950003
6974999920.125002,9554999907.225002,8262380870.479481,10904999900.475002,8264999913.675004,9768333253.936113,7664999916.675002,8576428515.077043,10238235228.56661,8734285648.675512,9721428509.352043,7310161236.185926,10814285638.275513,7154999919.225002,9453333255.511114,9969999905.150003,9894090822.843597,8078333262.386113,8903333258.261112,10149999904.250004,8064655111.757581,7574999917.125003,7870161233.385927,8852380867.529482,9269999908.650003,8749999928.250002,10024999904.875002,9148333257.036112,8118333262.186112,8457820459.946269
6974999920.125002,9554999907.225002,8262380870.479481,10233333251.611113,8264999913.675004,9123333257.161112,7539999917.300002,8576428515.077043,9423235232.641611,8124285651.725512,9721428509.352043,7137820466.546269,10684285638.925512,7154999919.225002,9453333255.511114,9189999926.050001,9894090822.843597,8078333262.386113,8598333259.786114,10149999904.250004,8064655111.757581,7574999917.125003,7870161233.385927,8036428517.777041,9269999908.650003,8749999928.250002,9704999906.475002,9148333257.036112,8118333262.186112,7117820466.646269
6974999920.125002,9279999908.600002,8262380870.479481,10233333251.611113,8264999913.675004,9123333257.161112,7539999917.300002,8576428515.077043,9423235232.641611,7874655112.7075815,9721428509.352043,7137820466.546269,9559285644.550512,7154999919.225002,9453333255.511114,9083333257.361113,9894090822.843597,8078333262.386113,8468333260.436113,10149999904.250004,8064655111.757581,7574999917.125003,7870161233.385927,8036428517.777041,9269999908.650003,8749999928.250002,9534999907.325003,9148333257.036112,8023333262.661114,7117820466.646269
6974999920.125002,7929999915.350002,8262380870.479481,10233333251.611113,8264999913.675004,9123333257.161112,7539999917.300002,8576428515.077043,9423235232.641611,7134655116.407581,9721428509.352043,7137820466.546269,9559285644.550512,7154999919.225002,9453333255.511114,9083333257.361113,9894090822.843597,8078333262.386113,8298333261.286112,9058333257.486113,8064655111.757581,7574999917.125003,7870161233.385927,8036428517.777041,8549999912.250003,8749999928.250002,9354999908.225004,9148333257.036112,8023333262.661114,7117820466.646269
6974999920.125002,7154999919.225002,8262380870.479481,9593333254.811111,7829999915.850002,9123333257.161112,7539999917.300002,8576428515.077043,8198235238.76661,7134655116.407581,9721428509.352043,7137820466.546269,9559285644.550512,7154999919.225002,9453333255.511114,8934999910.325003,9894090822.843597,8078333262.386113,8298333261.286112,9058333257.486113,8064655111.757581,7574999917.125003,7870161233.385927,7663235241.44161,8499999912.500004,8749999928.250002,8708333259.236113,9148333257.036112,8023333262.661114,7117820466.646269
6974999920.125002,7154999919.225002,8262380870.479481,9593333254.811111,7829999915.850002,9123333257.161112,7539999917.300002,8357820460.44627,8018235239.666609,7134655116.407581,9721428509.352043,7137820466.546269,9559285644.550512,7154999919.225002,9453333255.511114,8474999912.625004,9894090822.843597,8078333262.386113,8298333261.286112,8958333257.986113,8064655111.757581,7574999917.125003,7870161233.385927,7663235241.44161,8499999912.500004,8749999928.250002,8708333259.236113,9148333257.036112,7963333262.961113,7117820466.646269
6974999920.125002,7154999919.225002,8234999913.825004,9593333254.811111,7524999917.375002,9123333257.161112,7539999917.300002,8357820460.44627,7902820462.72127,7134655116.407581,9721428509.352043,7137820466.546269,9559285644.550512,7154999919.225002,8643235236.54161,8229999913.850003,9894090822.843597,8078333262.386113,8298333261.286112,8958333257.986113,7895740677.5309,7574999917.125003,7870161233.385927,7663235241.44161,8499999912.500004,8749999928.250002,8708333259.236113,8963333257.961113,7963333262.961113,7117820466.646269
