,ABC,BA,BBO,DO,FOX,GA,GWO,IFOX,LSHADE,PSO
ABC,,2.8665e-07,,1.1045e-05,1.5866e-01,4.1632e-02,,7.8650e-02,,
BA,,,1.0000e+00,9.6465e-01,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00
BBO,,,,1.1045e-05,1.5866e-01,4.1632e-02,,7.8650e-02,,
DO,,,,,9.9998e-01,9.9986e-01,9.9999e-01,9.9997e-01,9.9999e-01,9.9999e-01
FOX,,,,,,1.5866e-01,8.4134e-01,2.8185e-01,8.4134e-01,8.4134e-01
GA,,,,,,,9.5837e-01,6.7264e-01,9.5837e-01,9.5837e-01
GWO,,,,,,,,7.8650e-02,,
IFOX,,,,,,,,,9.2135e-01,9.2135e-01
LSHADE,,,,,,,,,,
PSO,,,,,,,,,,
