,ABC,BA,BBO,DO,FOX,GA,GWO,IFOX,LSHADE,PSO
ABC,,5.7330e-07,,2.2090e-05,3.1731e-01,8.3265e-02,,1.5730e-01,,
BA,5.7330e-07,,5.7330e-07,7.0701e-02,9.6336e-07,2.7265e-06,5.7330e-07,1.6200e-06,5.7330e-07,5.7330e-07
BBO,,5.7330e-07,,2.2090e-05,3.1731e-01,8.3265e-02,,1.5730e-01,,
DO,2.2090e-05,7.0701e-02,2.2090e-05,,3.7380e-05,2.7473e-04,2.2090e-05,6.3342e-05,2.2090e-05,2.2090e-05
FOX,3.1731e-01,9.6336e-07,3.1731e-01,3.7380e-05,,3.1731e-01,3.1731e-01,5.6370e-01,3.1731e-01,3.1731e-01
GA,8.3265e-02,2.7265e-06,8.3265e-02,2.7473e-04,3.1731e-01,,8.3265e-02,6.5472e-01,8.3265e-02,8.3265e-02
GWO,,5.7330e-07,,2.2090e-05,3.1731e-01,8.3265e-02,,1.5730e-01,,
IFOX,1.5730e-01,1.6200e-06,1.5730e-01,6.3342e-05,5.6370e-01,6.5472e-01,1.5730e-01,,1.5730e-01,1.5730e-01
LSHADE,,5.7330e-07,,2.2090e-05,3.1731e-01,8.3265e-02,,1.5730e-01,,
PSO,,5.7330e-07,,2.2090e-05,3.1731e-01,8.3265e-02,,1.5730e-01,,
