,ABC,BA,BBO,DO,FOX,GA,GWO,IFOX,LSHADE,PSO
ABC,,1.5186e-02,,3.8434e-02,3.1731e-01,,,,,3.1731e-01
BA,1.5186e-02,,1.5186e-02,5.7145e-01,9.8677e-02,1.5186e-02,1.5186e-02,1.5186e-02,1.5186e-02,9.8677e-02
BBO,,1.5186e-02,,3.8434e-02,3.1731e-01,,,,,3.1731e-01
DO,3.8434e-02,5.7145e-01,3.8434e-02,,2.3827e-01,3.8434e-02,3.8434e-02,3.8434e-02,3.8434e-02,7.6881e-02
FOX,3.1731e-01,9.8677e-02,3.1731e-01,2.3827e-01,,3.1731e-01,3.1731e-01,3.1731e-01,3.1731e-01,1.0000e+00
GA,,1.5186e-02,,3.8434e-02,3.1731e-01,,,,,3.1731e-01
GWO,,1.5186e-02,,3.8434e-02,3.1731e-01,,,,,3.1731e-01
IFOX,,1.5186e-02,,3.8434e-02,3.1731e-01,,,,,3.1731e-01
LSHADE,,1.5186e-02,,3.8434e-02,3.1731e-01,,,,,3.1731e-01
PSO,3.1731e-01,9.8677e-02,3.1731e-01,7.6881e-02,1.0000e+00,3.1731e-01,3.1731e-01,3.1731e-01,3.1731e-01,
