,ABC,BA,BBO,DO,FOX,GA,GWO,IFOX,LSHADE,PSO
ABC,,0.028748529577099998,0.08611133333333332,0.007954113062640001,0.14655242049,0.179256,0.27081666666666665,0.2193225,0.00027511,0.2988375
BA,0.028748529577099998,,0.028748733910433328,0.1367955019771,0.042665090787100006,0.028752518893766666,0.028749214477100004,0.028749093260433334,0.028748529577099998,0.04266380256043334
BBO,0.08611133333333332,0.028748733910433328,,0.008717573860000001,0.24309850439999997,0.159755,0.4251933333333333,0.508345,0.06795516666666666,0.492575
DO,0.007954113062640001,0.1367955019771,0.008717573860000001,,0.077880636,0.018251426180000002,0.007956692340000002,0.0081168582,0.007954623820000001,0.017729568078000003
FOX,0.14655242049,0.042665090787100006,0.24309850439999997,0.077880636,,0.396332051036,0.18690597599999997,0.259194054,0.14655325664,0.42578623842
GA,0.179256,0.028752518893766666,0.159755,0.018251426180000002,0.396332051036,,0.0959055,0.24522449999999998,0.033024250000000005,0.308115
GWO,0.27081666666666665,0.028749214477100004,0.4251933333333333,0.007956692340000002,0.18690597599999997,0.0959055,,0.5279,0.2117033233333333,0.40388999999999997
IFOX,0.2193225,0.028749093260433334,0.508345,0.0081168582,0.259194054,0.24522449999999998,0.5279,,0.1637469075,0.432374
LSHADE,0.00027511,0.028748529577099998,0.06795516666666666,0.007954623820000001,0.14655325664,0.033024250000000005,0.2117033233333333,0.1637469075,,0.1510959
PSO,0.2988375,0.04266380256043334,0.492575,0.017729568078000003,0.42578623842,0.308115,0.40388999999999997,0.432374,0.1510959,
