Topology,# of Nodes,Problem,Metric,ABC,BA,BBO,DO,FOX,GA,GWO,IFOX,LSHADE,PSO
Grid,50,SPP,Avg,4.43E+09,4.62E+09,4.44E+09,4.49E+09,4.45E+09,4.45E+09,4.43E+09,4.43E+09,4.43E+09,4.44E+09
Grid,50,SPP,Std,0.00E+00,1.06E+08,2.94E+07,8.49E+07,6.85E+07,4.43E+07,3.10E+07,1.55E+07,0.00E+00,4.51E+07
Grid,50,SPP,Best,4.43E+09,4.43E+09,4.43E+09,4.43E+09,4.43E+09,4.43E+09,4.43E+09,4.43E+09,4.43E+09,4.43E+09
Grid,50,SPP,Worst,4.43E+09,4.83E+09,4.51E+09,4.75E+09,4.75E+09,4.60E+09,4.60E+09,4.51E+09,4.43E+09,4.60E+09
Grid,50,SPP,Rank,1,10,5,9,8,7,4,3,1,6
Grid,100,SPP,Avg,1.19E-01,1.38E+08,1.19E-01,5.23E+07,1.25E-01,1.27E-01,1.19E-01,1.21E-01,1.19E-01,1.21E-01
Grid,100,SPP,Std,2.82E-17,5.25E+08,1.04E-04,2.86E+08,1.60E-02,2.08E-02,7.47E-05,9.58E-03,2.82E-17,9.58E-03
Grid,100,SPP,Best,1.19E-01,1.19E-01,1.19E-01,1.19E-01,1.19E-01,1.19E-01,1.19E-01,1.19E-01,1.19E-01,1.19E-01
Grid,100,SPP,Worst,1.19E-01,2.17E+09,1.20E-01,1.57E+09,1.72E-01,1.98E-01,1.20E-01,1.72E-01,1.19E-01,1.72E-01
Grid,100,SPP,Rank,1,10,4,9,7,8,3,5,1,5
Random,50,SPP,Avg,4.69E+09,4.74E+09,4.69E+09,4.69E+09,4.69E+09,4.69E+09,4.69E+09,4.69E+09,4.69E+09,4.69E+09
Random,50,SPP,Std,9.70E-07,1.78E+08,9.70E-07,9.70E-07,9.70E-07,9.70E-07,9.70E-07,9.70E-07,9.70E-07,9.70E-07
Random,50,SPP,Best,4.69E+09,4.69E+09,4.69E+09,4.69E+09,4.69E+09,4.69E+09,4.69E+09,4.69E+09,4.69E+09,4.69E+09
Random,50,SPP,Worst,4.69E+09,5.39E+09,4.69E+09,4.69E+09,4.69E+09,4.69E+09,4.69E+09,4.69E+09,4.69E+09,4.69E+09
Random,50,SPP,Rank,1,10,1,1,1,1,1,1,1,1
Random,100,SPP,Avg,6.40E+09,1.02E+10,6.54E+09,7.76E+09,7.30E+09,6.41E+09,6.57E+09,6.54E+09,6.20E+09,6.46E+09
Random,100,SPP,Std,2.00E+08,8.90E+08,3.78E+08,8.09E+08,7.21E+08,3.85E+08,4.17E+08,4.13E+08,1.82E+08,3.46E+08
Random,100,SPP,Best,6.13E+09,7.92E+09,6.13E+09,6.13E+09,6.18E+09,6.13E+09,6.13E+09,6.13E+09,6.13E+09,6.13E+09
Random,100,SPP,Worst,6.63E+09,1.19E+10,7.34E+09,9.32E+09,8.95E+09,7.32E+09,7.73E+09,7.69E+09,6.91E+09,7.20E+09
Random,100,SPP,Rank,2,10,5,9,8,3,7,6,1,4
Scale-free,50,SPP,Avg,1.28E-02,5.65E-02,1.28E-02,4.43E-02,1.45E-02,1.80E-02,1.28E-02,1.63E-02,1.28E-02,1.28E-02
Scale-free,50,SPP,Std,1.76E-18,1.99E-02,1.76E-18,2.62E-02,9.58E-03,1.60E-02,1.76E-18,1.33E-02,1.76E-18,1.76E-18
Scale-free,50,SPP,Best,1.28E-02,1.28E-02,1.28E-02,1.28E-02,1.28E-02,1.28E-02,1.28E-02,1.28E-02,1.28E-02,1.28E-02
Scale-free,50,SPP,Worst,1.28E-02,6.53E-02,1.28E-02,6.53E-02,6.53E-02,6.53E-02,1.28E-02,6.53E-02,1.28E-02,1.28E-02
Scale-free,50,SPP,Rank,1,10,1,9,6,8,1,7,1,1
Scale-free,100,SPP,Avg,5.03E+09,5.25E+09,5.03E+09,5.19E+09,5.08E+09,5.03E+09,5.03E+09,5.03E+09,5.03E+09,5.08E+09
Scale-free,100,SPP,Std,0.00E+00,4.24E+08,0.00E+00,3.65E+08,2.32E+08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.32E+08
Scale-free,100,SPP,Best,5.03E+09,5.03E+09,5.03E+09,5.03E+09,5.03E+09,5.03E+09,5.03E+09,5.03E+09,5.03E+09,5.03E+09
Scale-free,100,SPP,Worst,5.03E+09,6.30E+09,5.03E+09,6.30E+09,6.30E+09,5.03E+09,5.03E+09,5.03E+09,5.03E+09,6.30E+09
Scale-free,100,SPP,Rank,1,10,1,9,7,1,1,1,1,7
,,,,,,,,,,,,,
Average Ranks,,,,1.17,10.00,2.83,7.67,6.17,4.67,2.83,3.83,1.00,4.00
